record_id,node_id,node_name,node_type,description,node_raw
R0004,Methanogens,Methanogens,rumen_archaea,methane-producing archaea,"{""id"": ""Methanogens"", ""node_type"": ""rumen_archaea"", ""description"": ""methane-producing archaea""}"
R0004,Fibrobacter,Fibrobacter,rumen_bacteria,fiber-degrading bacteria,"{""id"": ""Fibrobacter"", ""node_type"": ""rumen_bacteria"", ""description"": ""fiber-degrading bacteria""}"
R0004,Ruminococcus,Ruminococcus,rumen_bacteria,fiber-degrading and VFA-producing bacteria,"{""id"": ""Ruminococcus"", ""node_type"": ""rumen_bacteria"", ""description"": ""fiber-degrading and VFA-producing bacteria""}"
R0004,Prevotella,Prevotella,rumen_bacteria,VFA-producing bacteria,"{""id"": ""Prevotella"", ""node_type"": ""rumen_bacteria"", ""description"": ""VFA-producing bacteria""}"
R0004,Bifidobacterium,Bifidobacterium,rumen_bacteria,bacteria increased by A. taxiformis,"{""id"": ""Bifidobacterium"", ""node_type"": ""rumen_bacteria"", ""description"": ""bacteria increased by A. taxiformis""}"
R0004,Succinivibrio,Succinivibrio,rumen_bacteria,bacteria increased by A. taxiformis,"{""id"": ""Succinivibrio"", ""node_type"": ""rumen_bacteria"", ""description"": ""bacteria increased by A. taxiformis""}"
R0004,Ruminobacter,Ruminobacter,rumen_bacteria,bacteria increased by A. taxiformis,"{""id"": ""Ruminobacter"", ""node_type"": ""rumen_bacteria"", ""description"": ""bacteria increased by A. taxiformis""}"
R0004,unclassified Lachnospiraceae,unclassified Lachnospiraceae,rumen_bacteria,bacteria increased by A. taxiformis,"{""id"": ""unclassified Lachnospiraceae"", ""node_type"": ""rumen_bacteria"", ""description"": ""bacteria increased by A. taxiformis""}"
R0005,Asparagopsis taxiformis,Asparagopsis taxiformis,plant_species,"red macroalga, bromoform source","{""id"": ""Asparagopsis taxiformis"", ""node_type"": ""plant_species"", ""description"": ""red macroalga, bromoform source""}"
R0005,bromoform,bromoform,plant_metabolite,"halogenated compound, methane inhibitor","{""id"": ""bromoform"", ""node_type"": ""plant_metabolite"", ""description"": ""halogenated compound, methane inhibitor""}"
R0006,Ecklonia stolonifera,Ecklonia stolonifera,plant_species,brown macroalga,"{""id"": ""Ecklonia stolonifera"", ""node_type"": ""plant_species"", ""description"": ""brown macroalga""}"
R0006,ciliate-associated methanogen,ciliate-associated methanogen,rumen_archaea,methanogens associated with ciliates,"{""id"": ""ciliate-associated methanogen"", ""node_type"": ""rumen_archaea"", ""description"": ""methanogens associated with ciliates""}"
R0006,Fibrobacter succinogenes,Fibrobacter succinogenes,rumen_bacteria,cellulolytic bacterium,"{""id"": ""Fibrobacter succinogenes"", ""node_type"": ""rumen_bacteria"", ""description"": ""cellulolytic bacterium""}"
R0006,Ruminococcus flavefaciens,Ruminococcus flavefaciens,rumen_bacteria,cellulolytic bacterium,"{""id"": ""Ruminococcus flavefaciens"", ""node_type"": ""rumen_bacteria"", ""description"": ""cellulolytic bacterium""}"
R0006,methane yield,methane yield,outcome,methane production,"{""id"": ""methane yield"", ""node_type"": ""outcome"", ""description"": ""methane production""}"
R0006,hydrogen production,hydrogen production,outcome,hydrogen gas production,"{""id"": ""hydrogen production"", ""node_type"": ""outcome"", ""description"": ""hydrogen gas production""}"
R0006,total gas production,total gas production,outcome,total gas produced during fermentation,"{""id"": ""total gas production"", ""node_type"": ""outcome"", ""description"": ""total gas produced during fermentation""}"
R0007,Asparagopsis taxiformis,Asparagopsis taxiformis,plant_species,"red macroalga, bromoform source","{""id"": ""Asparagopsis taxiformis"", ""node_type"": ""plant_species"", ""description"": ""red macroalga, bromoform source""}"
R0007,Asparagopsis armata,Asparagopsis armata,plant_species,"red macroalga, bromoform source","{""id"": ""Asparagopsis armata"", ""node_type"": ""plant_species"", ""description"": ""red macroalga, bromoform source""}"
R0007,enteric methane,enteric methane,outcome,methane emissions from cattle,"{""id"": ""enteric methane"", ""node_type"": ""outcome"", ""description"": ""methane emissions from cattle""}"
R0008,Asparagopsis taxiformis,Asparagopsis taxiformis,plant_species,"red macroalga, bromoform source","{""id"": ""Asparagopsis taxiformis"", ""node_type"": ""plant_species"", ""description"": ""red macroalga, bromoform source""}"
R0008,methane yield,methane yield,outcome,enteric methane yield in g CH4/kg DMI,"{""id"": ""methane yield"", ""node_type"": ""outcome"", ""description"": ""enteric methane yield in g CH4/kg DMI""}"
R0008,hydrogen yield,hydrogen yield,outcome,enteric hydrogen yield,"{""id"": ""hydrogen yield"", ""node_type"": ""outcome"", ""description"": ""enteric hydrogen yield""}"
R0009,Asparagopsis taxiformis,Asparagopsis taxiformis,plant_species,"red macroalga, bromoform source","{""id"": ""Asparagopsis taxiformis"", ""node_type"": ""plant_species"", ""description"": ""red macroalga, bromoform source""}"
R0009,Bonnemaisonia hamifera,Bonnemaisonia hamifera,plant_species,seaweed with low bromoform content,"{""id"": ""Bonnemaisonia hamifera"", ""node_type"": ""plant_species"", ""description"": ""seaweed with low bromoform content""}"
R0009,Dictyota bartayresii,Dictyota bartayresii,plant_species,seaweed with low bromoform content,"{""id"": ""Dictyota bartayresii"", ""node_type"": ""plant_species"", ""description"": ""seaweed with low bromoform content""}"
R0009,Cystoseira trinodis,Cystoseira trinodis,plant_species,seaweed with low bromoform content,"{""id"": ""Cystoseira trinodis"", ""node_type"": ""plant_species"", ""description"": ""seaweed with low bromoform content""}"
R0009,bromoform,bromoform,plant_metabolite,"halogenated methane analogue, anti-methanogenic","{""id"": ""bromoform"", ""node_type"": ""plant_metabolite"", ""description"": ""halogenated methane analogue, anti-methanogenic""}"
R0009,coenzyme M methyltransferase,coenzyme M methyltransferase,metabolic_process,enzyme in methanogenesis pathway,"{""id"": ""coenzyme M methyltransferase"", ""node_type"": ""metabolic_process"", ""description"": ""enzyme in methanogenesis pathway""}"
R0009,methane yield,methane yield,outcome,enteric methane emissions,"{""id"": ""methane yield"", ""node_type"": ""outcome"", ""description"": ""enteric methane emissions""}"
R0010,Ascophyllum nodosum,Ascophyllum nodosum,plant_species,whole seaweed,"{""id"": ""Ascophyllum nodosum"", ""node_type"": ""plant_species"", ""description"": ""whole seaweed""}"
R0010,Himanthalia elongata,Himanthalia elongata,plant_species,seaweed extract,"{""id"": ""Himanthalia elongata"", ""node_type"": ""plant_species"", ""description"": ""seaweed extract""}"
R0010,methane yield,methane yield,outcome,CH4 yield (g/kg DM intake),"{""id"": ""methane yield"", ""node_type"": ""outcome"", ""description"": ""CH4 yield (g/kg DM intake)""}"
R0011,Laminaria japonica Aresch,Laminaria japonica Aresch,plant_species,cultivated brown seaweed,"{""id"": ""Laminaria japonica Aresch"", ""node_type"": ""plant_species"", ""description"": ""cultivated brown seaweed""}"
R0011,Porphyra tenera,Porphyra tenera,plant_species,cultivated red seaweed,"{""id"": ""Porphyra tenera"", ""node_type"": ""plant_species"", ""description"": ""cultivated red seaweed""}"
R0011,Laminaria japonica enzymatic hydrolysates,Laminaria japonica enzymatic hydrolysates,feed_additive,enzymatic hydrolysates derived from L. japonica,"{""id"": ""Laminaria japonica enzymatic hydrolysates"", ""node_type"": ""feed_additive"", ""description"": ""enzymatic hydrolysates derived from L. japonica""}"
R0011,methane yield,methane yield,outcome,methane production in rumen,"{""id"": ""methane yield"", ""node_type"": ""outcome"", ""description"": ""methane production in rumen""}"
R0011,prokaryotic community structure,prokaryotic community structure,metabolic_process,rumen prokaryotic community composition,"{""id"": ""prokaryotic community structure"", ""node_type"": ""metabolic_process"", ""description"": ""rumen prokaryotic community composition""}"
R0011,propionate/butyrate-producing bacteria,propionate/butyrate-producing bacteria,rumen_bacteria,bacteria producing propionate and butyrate,"{""id"": ""propionate/butyrate-producing bacteria"", ""node_type"": ""rumen_bacteria"", ""description"": ""bacteria producing propionate and butyrate""}"
R0011,narB gene,narB gene,metabolic_process,gene involved in nitrate reduction,"{""id"": ""narB gene"", ""node_type"": ""metabolic_process"", ""description"": ""gene involved in nitrate reduction""}"
R0012,Amphiroa anceps,Amphiroa anceps,plant_species,red seaweed,"{""id"": ""Amphiroa anceps"", ""node_type"": ""plant_species"", ""description"": ""red seaweed""}"
R0012,Asparagopsis taxiformis,Asparagopsis taxiformis,plant_species,"red seaweed, highest CH4 reduction","{""id"": ""Asparagopsis taxiformis"", ""node_type"": ""plant_species"", ""description"": ""red seaweed, highest CH4 reduction""}"
R0012,Chondracanthus tenellus,Chondracanthus tenellus,plant_species,red seaweed,"{""id"": ""Chondracanthus tenellus"", ""node_type"": ""plant_species"", ""description"": ""red seaweed""}"
R0012,Grateloupia elliptica,Grateloupia elliptica,plant_species,red seaweed,"{""id"": ""Grateloupia elliptica"", ""node_type"": ""plant_species"", ""description"": ""red seaweed""}"
R0012,Gracilaria parvispora,Gracilaria parvispora,plant_species,red seaweed,"{""id"": ""Gracilaria parvispora"", ""node_type"": ""plant_species"", ""description"": ""red seaweed""}"
R0012,Methanobrevibacter,Methanobrevibacter,rumen_archaea,methanogen genus reduced by seaweed extracts,"{""id"": ""Methanobrevibacter"", ""node_type"": ""rumen_archaea"", ""description"": ""methanogen genus reduced by seaweed extracts""}"
R0012,total methanogens,total methanogens,rumen_archaea,reduced by seaweed extracts,"{""id"": ""total methanogens"", ""node_type"": ""rumen_archaea"", ""description"": ""reduced by seaweed extracts""}"
R0012,Succinivibrionaceae,Succinivibrionaceae,rumen_bacteria,"increased, associated with propionate production","{""id"": ""Succinivibrionaceae"", ""node_type"": ""rumen_bacteria"", ""description"": ""increased, associated with propionate production""}"
R0012,Anaeroplasma,Anaeroplasma,rumen_bacteria,increased,"{""id"": ""Anaeroplasma"", ""node_type"": ""rumen_bacteria"", ""description"": ""increased""}"
R0012,Ruminococcaceae,Ruminococcaceae,rumen_bacteria,"increased, associated with starch degradation","{""id"": ""Ruminococcaceae"", ""node_type"": ""rumen_bacteria"", ""description"": ""increased, associated with starch degradation""}"
R0012,methane yield,methane yield,outcome,CH4 reduction,"{""id"": ""methane yield"", ""node_type"": ""outcome"", ""description"": ""CH4 reduction""}"
R0012,propionate production,propionate production,metabolic_process,increased molar proportion,"{""id"": ""propionate production"", ""node_type"": ""metabolic_process"", ""description"": ""increased molar proportion""}"
R0012,red seaweed extracts,red seaweed extracts,outcome,auto-added from edge,"{""id"": ""red seaweed extracts"", ""node_type"": ""outcome"", ""description"": ""auto-added from edge""}"
R0013,Asparagopsis,Asparagopsis,plant_species,red macroalga used as feed additive for methane mitigation,"{""id"": ""Asparagopsis"", ""node_type"": ""plant_species"", ""description"": ""red macroalga used as feed additive for methane mitigation""}"
R0013,enteric methane,enteric methane,outcome,auto-added from edge,"{""id"": ""enteric methane"", ""node_type"": ""outcome"", ""description"": ""auto-added from edge""}"
R0014,Asparagopsis taxiformis,Asparagopsis taxiformis,plant_species,"red macroalga, bromoform source","{""id"": ""Asparagopsis taxiformis"", ""node_type"": ""plant_species"", ""description"": ""red macroalga, bromoform source""}"
R0014,bromoform,bromoform,plant_metabolite,"halogenated compound, methane inhibitor","{""id"": ""bromoform"", ""node_type"": ""plant_metabolite"", ""description"": ""halogenated compound, methane inhibitor""}"
R0014,Brominata,Brominata,feed_additive,pelleted bromoform-containing seaweed product,"{""id"": ""Brominata"", ""node_type"": ""feed_additive"", ""description"": ""pelleted bromoform-containing seaweed product""}"
R0014,methane yield,methane yield,outcome,enteric methane emissions,"{""id"": ""methane yield"", ""node_type"": ""outcome"", ""description"": ""enteric methane emissions""}"
R0014,hydrogen emissions,hydrogen emissions,outcome,H2 emissions measured by GreenFeed,"{""id"": ""hydrogen emissions"", ""node_type"": ""outcome"", ""description"": ""H2 emissions measured by GreenFeed""}"
R0015,Ulva sp.,Ulva sp.,plant_species,green macroalga,"{""id"": ""Ulva sp."", ""node_type"": ""plant_species"", ""description"": ""green macroalga""}"
R0015,Sargassum horneri,Sargassum horneri,plant_species,brown macroalga,"{""id"": ""Sargassum horneri"", ""node_type"": ""plant_species"", ""description"": ""brown macroalga""}"
R0015,methane,methane,outcome,rumen methane production,"{""id"": ""methane"", ""node_type"": ""outcome"", ""description"": ""rumen methane production""}"
R0016,Asparagopsis taxiformis,Asparagopsis taxiformis,plant_species,"red macroalga, bromoform source","{""id"": ""Asparagopsis taxiformis"", ""node_type"": ""plant_species"", ""description"": ""red macroalga, bromoform source""}"
R0016,methane yield,methane yield,outcome,auto-added from edge,"{""id"": ""methane yield"", ""node_type"": ""outcome"", ""description"": ""auto-added from edge""}"
R0017,Asparagopsis armata,Asparagopsis armata,plant_species,red macroalga,"{""id"": ""Asparagopsis armata"", ""node_type"": ""plant_species"", ""description"": ""red macroalga""}"
R0017,methane,methane,outcome,enteric methane,"{""id"": ""methane"", ""node_type"": ""outcome"", ""description"": ""enteric methane""}"
R0017,Duodenibacillus sp.,Duodenibacillus sp.,rumen_bacteria,hydrogenotrophic bacterium,"{""id"": ""Duodenibacillus sp."", ""node_type"": ""rumen_bacteria"", ""description"": ""hydrogenotrophic bacterium""}"
R0017,methanogenesis pathways,methanogenesis pathways,metabolic_process,methanogenesis transcription,"{""id"": ""methanogenesis pathways"", ""node_type"": ""metabolic_process"", ""description"": ""methanogenesis transcription""}"
R0018,Himanthalia elongata,Himanthalia elongata,plant_species,"temperate seaweed, high phlorotannin content","{""id"": ""Himanthalia elongata"", ""node_type"": ""plant_species"", ""description"": ""temperate seaweed, high phlorotannin content""}"
R0018,Fucus vesiculosus,Fucus vesiculosus,plant_species,"temperate seaweed, high phlorotannin content","{""id"": ""Fucus vesiculosus"", ""node_type"": ""plant_species"", ""description"": ""temperate seaweed, high phlorotannin content""}"
R0018,Asparagopsis taxiformis,Asparagopsis taxiformis,plant_species,"red macroalga, positive control","{""id"": ""Asparagopsis taxiformis"", ""node_type"": ""plant_species"", ""description"": ""red macroalga, positive control""}"
R0018,Alaria esculenta,Alaria esculenta,plant_species,temperate seaweed,"{""id"": ""Alaria esculenta"", ""node_type"": ""plant_species"", ""description"": ""temperate seaweed""}"
R0018,Ascophyllum nodosum,Ascophyllum nodosum,plant_species,temperate seaweed,"{""id"": ""Ascophyllum nodosum"", ""node_type"": ""plant_species"", ""description"": ""temperate seaweed""}"
R0018,Chondrus crispus,Chondrus crispus,plant_species,temperate seaweed,"{""id"": ""Chondrus crispus"", ""node_type"": ""plant_species"", ""description"": ""temperate seaweed""}"
R0018,phlorotannins,phlorotannins,plant_metabolite,bioactive compound in seaweeds,"{""id"": ""phlorotannins"", ""node_type"": ""plant_metabolite"", ""description"": ""bioactive compound in seaweeds""}"
R0018,methane,methane,outcome,enteric methane production,"{""id"": ""methane"", ""node_type"": ""outcome"", ""description"": ""enteric methane production""}"
R0019,Asparagopsis taxiformis,Asparagopsis taxiformis,plant_species,red macroalga,"{""id"": ""Asparagopsis taxiformis"", ""node_type"": ""plant_species"", ""description"": ""red macroalga""}"
R0019,Ascophyllum nodosum,Ascophyllum nodosum,plant_species,brown macroalga,"{""id"": ""Ascophyllum nodosum"", ""node_type"": ""plant_species"", ""description"": ""brown macroalga""}"
R0019,methane yield,methane yield,outcome,methane production per unit DMI,"{""id"": ""methane yield"", ""node_type"": ""outcome"", ""description"": ""methane production per unit DMI""}"
R0020,Sargassum fusiforme,Sargassum fusiforme,plant_species,brown seaweed SFUS,"{""id"": ""Sargassum fusiforme"", ""node_type"": ""plant_species"", ""description"": ""brown seaweed SFUS""}"
R0020,Sargassum fulvellum,Sargassum fulvellum,plant_species,brown seaweed SFUL,"{""id"": ""Sargassum fulvellum"", ""node_type"": ""plant_species"", ""description"": ""brown seaweed SFUL""}"
R0020,Undaria pinnatifida,Undaria pinnatifida,plant_species,brown seaweed UPIN,"{""id"": ""Undaria pinnatifida"", ""node_type"": ""plant_species"", ""description"": ""brown seaweed UPIN""}"
R0020,phlorotannins,phlorotannins,plant_metabolite,total flavonoid and polyphenol,"{""id"": ""phlorotannins"", ""node_type"": ""plant_metabolite"", ""description"": ""total flavonoid and polyphenol""}"
R0020,methane yield,methane yield,outcome,CH4 yield and proportion to total gas,"{""id"": ""methane yield"", ""node_type"": ""outcome"", ""description"": ""CH4 yield and proportion to total gas""}"
R0020,propionate production,propionate production,metabolic_process,molar proportion of propionate,"{""id"": ""propionate production"", ""node_type"": ""metabolic_process"", ""description"": ""molar proportion of propionate""}"
R0020,Fibrobacter succinogenes,Fibrobacter succinogenes,rumen_bacteria,"fibrolytic bacterium, increased","{""id"": ""Fibrobacter succinogenes"", ""node_type"": ""rumen_bacteria"", ""description"": ""fibrolytic bacterium, increased""}"
R0020,Butyrivibrio fibrisolvens,Butyrivibrio fibrisolvens,rumen_bacteria,decreased with supplementation,"{""id"": ""Butyrivibrio fibrisolvens"", ""node_type"": ""rumen_bacteria"", ""description"": ""decreased with supplementation""}"
R0020,Prevotella ruminicola,Prevotella ruminicola,rumen_bacteria,decreased with supplementation,"{""id"": ""Prevotella ruminicola"", ""node_type"": ""rumen_bacteria"", ""description"": ""decreased with supplementation""}"
R0020,methanogenic archaea,methanogenic archaea,rumen_archaea,abundance measured,"{""id"": ""methanogenic archaea"", ""node_type"": ""rumen_archaea"", ""description"": ""abundance measured""}"
R0020,ciliate protozoa,ciliate protozoa,rumen_protozoa,abundance measured,"{""id"": ""ciliate protozoa"", ""node_type"": ""rumen_protozoa"", ""description"": ""abundance measured""}"
R0021,Ascophyllum nodosum,Ascophyllum nodosum,plant_species,"brown seaweed, rich in polyphenols/phlorotannins","{""id"": ""Ascophyllum nodosum"", ""node_type"": ""plant_species"", ""description"": ""brown seaweed, rich in polyphenols/phlorotannins""}"
R0021,Himanthalia elongata,Himanthalia elongata,plant_species,"brown seaweed, rich in polyphenols/phlorotannins","{""id"": ""Himanthalia elongata"", ""node_type"": ""plant_species"", ""description"": ""brown seaweed, rich in polyphenols/phlorotannins""}"
R0021,Methanococcus maripaludis,Methanococcus maripaludis,rumen_archaea,methanogen,"{""id"": ""Methanococcus maripaludis"", ""node_type"": ""rumen_archaea"", ""description"": ""methanogen""}"
R0021,Methanobrevibacter ruminantium,Methanobrevibacter ruminantium,rumen_archaea,methanogen,"{""id"": ""Methanobrevibacter ruminantium"", ""node_type"": ""rumen_archaea"", ""description"": ""methanogen""}"
R0021,phlorotannins,phlorotannins,plant_metabolite,polyphenolic compound with antimicrobial activity,"{""id"": ""phlorotannins"", ""node_type"": ""plant_metabolite"", ""description"": ""polyphenolic compound with antimicrobial activity""}"
R0021,peptide,peptide,plant_metabolite,bioactive peptides from seaweed hydrolysates,"{""id"": ""peptide"", ""node_type"": ""plant_metabolite"", ""description"": ""bioactive peptides from seaweed hydrolysates""}"
R0022,Ascophyllum nodosum,Ascophyllum nodosum,plant_species,brown seaweed,"{""id"": ""Ascophyllum nodosum"", ""node_type"": ""plant_species"", ""description"": ""brown seaweed""}"
R0022,Fucus vesiculosus,Fucus vesiculosus,plant_species,brown seaweed,"{""id"": ""Fucus vesiculosus"", ""node_type"": ""plant_species"", ""description"": ""brown seaweed""}"
R0022,methane concentration,methane concentration,outcome,methane concentration in total gas,"{""id"": ""methane concentration"", ""node_type"": ""outcome"", ""description"": ""methane concentration in total gas""}"
R0022,total gas production,total gas production,outcome,total gas production,"{""id"": ""total gas production"", ""node_type"": ""outcome"", ""description"": ""total gas production""}"
R0022,VFA production,VFA production,metabolic_process,volatile fatty acid production,"{""id"": ""VFA production"", ""node_type"": ""metabolic_process"", ""description"": ""volatile fatty acid production""}"
R0022,ammonia production,ammonia production,outcome,ammonia production,"{""id"": ""ammonia production"", ""node_type"": ""outcome"", ""description"": ""ammonia production""}"
R0022,microbiota composition,microbiota composition,outcome,microbiota composition,"{""id"": ""microbiota composition"", ""node_type"": ""outcome"", ""description"": ""microbiota composition""}"
R0023,Pelvetia canaliculata,Pelvetia canaliculata,plant_species,brown seaweed,"{""id"": ""Pelvetia canaliculata"", ""node_type"": ""plant_species"", ""description"": ""brown seaweed""}"
R0023,Cystoseira tamariscifolia,Cystoseira tamariscifolia,plant_species,brown seaweed,"{""id"": ""Cystoseira tamariscifolia"", ""node_type"": ""plant_species"", ""description"": ""brown seaweed""}"
R0023,Bifurcaria bifurcata,Bifurcaria bifurcata,plant_species,brown seaweed,"{""id"": ""Bifurcaria bifurcata"", ""node_type"": ""plant_species"", ""description"": ""brown seaweed""}"
R0023,Fucus vesiculosus,Fucus vesiculosus,plant_species,brown seaweed,"{""id"": ""Fucus vesiculosus"", ""node_type"": ""plant_species"", ""description"": ""brown seaweed""}"
R0023,Himanthalia elongata,Himanthalia elongata,plant_species,brown seaweed,"{""id"": ""Himanthalia elongata"", ""node_type"": ""plant_species"", ""description"": ""brown seaweed""}"
R0023,Ulva intestinalis,Ulva intestinalis,plant_species,green seaweed,"{""id"": ""Ulva intestinalis"", ""node_type"": ""plant_species"", ""description"": ""green seaweed""}"
R0023,Ascophyllum nodosum,Ascophyllum nodosum,plant_species,brown seaweed,"{""id"": ""Ascophyllum nodosum"", ""node_type"": ""plant_species"", ""description"": ""brown seaweed""}"
R0023,methane yield,methane yield,outcome,enteric methane production,"{""id"": ""methane yield"", ""node_type"": ""outcome"", ""description"": ""enteric methane production""}"
R0023,total VFA,total VFA,outcome,total volatile fatty acids,"{""id"": ""total VFA"", ""node_type"": ""outcome"", ""description"": ""total volatile fatty acids""}"
R0023,acetate,acetate,metabolic_process,acetate production,"{""id"": ""acetate"", ""node_type"": ""metabolic_process"", ""description"": ""acetate production""}"
R0023,propionate production,propionate production,metabolic_process,propionate production,"{""id"": ""propionate production"", ""node_type"": ""metabolic_process"", ""description"": ""propionate production""}"
R0023,acetate:propionate ratio,acetate:propionate ratio,outcome,ratio of acetate to propionate,"{""id"": ""acetate:propionate ratio"", ""node_type"": ""outcome"", ""description"": ""ratio of acetate to propionate""}"
R0023,NH3-N,NH3-N,outcome,ammonia nitrogen,"{""id"": ""NH3-N"", ""node_type"": ""outcome"", ""description"": ""ammonia nitrogen""}"
R0024,Asparagopsis taxiformis,Asparagopsis taxiformis,plant_species,"red macroalga, native to Azorean Sea","{""id"": ""Asparagopsis taxiformis"", ""node_type"": ""plant_species"", ""description"": ""red macroalga, native to Azorean Sea""}"
R0024,Asparagopsis armata,Asparagopsis armata,plant_species,"red macroalga, invasive in Azorean Sea","{""id"": ""Asparagopsis armata"", ""node_type"": ""plant_species"", ""description"": ""red macroalga, invasive in Azorean Sea""}"
R0024,methane yield,methane yield,outcome,enteric methane production in vitro,"{""id"": ""methane yield"", ""node_type"": ""outcome"", ""description"": ""enteric methane production in vitro""}"
R0025,Enteromorpha prolifera,Enteromorpha prolifera,plant_species,green macroalga,"{""id"": ""Enteromorpha prolifera"", ""node_type"": ""plant_species"", ""description"": ""green macroalga""}"
R0025,Sargassum horneri,Sargassum horneri,plant_species,brown macroalga,"{""id"": ""Sargassum horneri"", ""node_type"": ""plant_species"", ""description"": ""brown macroalga""}"
R0025,Sargassum serratum,Sargassum serratum,plant_species,brown macroalga,"{""id"": ""Sargassum serratum"", ""node_type"": ""plant_species"", ""description"": ""brown macroalga""}"
R0025,Laurencia tristicha,Laurencia tristicha,plant_species,red macroalga,"{""id"": ""Laurencia tristicha"", ""node_type"": ""plant_species"", ""description"": ""red macroalga""}"
R0025,Asparagopsis taxiformis,Asparagopsis taxiformis,plant_species,red macroalga,"{""id"": ""Asparagopsis taxiformis"", ""node_type"": ""plant_species"", ""description"": ""red macroalga""}"
R0025,methane yield,methane yield,outcome,CH4 production in rumen fermentation,"{""id"": ""methane yield"", ""node_type"": ""outcome"", ""description"": ""CH4 production in rumen fermentation""}"
R0025,Succinivibrio,Succinivibrio,rumen_bacteria,module hub regulating VFA production,"{""id"": ""Succinivibrio"", ""node_type"": ""rumen_bacteria"", ""description"": ""module hub regulating VFA production""}"
R0025,Lachnospiraceae_UCG-008,Lachnospiraceae_UCG-008,rumen_bacteria,module hub regulating VFA production,"{""id"": ""Lachnospiraceae_UCG-008"", ""node_type"": ""rumen_bacteria"", ""description"": ""module hub regulating VFA production""}"
R0025,Papillibacter,Papillibacter,rumen_bacteria,connector stabilizing interactions,"{""id"": ""Papillibacter"", ""node_type"": ""rumen_bacteria"", ""description"": ""connector stabilizing interactions""}"
R0025,UCG_004,UCG_004,rumen_bacteria,biomarker for seaweed supplementation,"{""id"": ""UCG_004"", ""node_type"": ""rumen_bacteria"", ""description"": ""biomarker for seaweed supplementation""}"
R0025,Butyrivibrio,Butyrivibrio,rumen_bacteria,biomarker for seaweed supplementation,"{""id"": ""Butyrivibrio"", ""node_type"": ""rumen_bacteria"", ""description"": ""biomarker for seaweed supplementation""}"
R0025,UCG_002,UCG_002,rumen_bacteria,biomarker for seaweed supplementation,"{""id"": ""UCG_002"", ""node_type"": ""rumen_bacteria"", ""description"": ""biomarker for seaweed supplementation""}"
