record_id,subject,predicate,object,effect_direction,effect_size,dose,experimental_system,mechanism_class,direct_or_inferred,evidence_method,evidence_quality,supporting_quote,paper_id,extraction_source,prompt_version,confidence,edge_raw
R0004,Asparagopsis taxiformis,INHIBITS,Methanogens,decrease,Not stated,Not specified,in_vitro,['Microbial community restructuring'],Direct,16S rRNA,High,"A. taxiformis reduced the abundance of all major archaeal species (p < 0.05), leading to an almost total disappearance of the methanogens.",10.3389/fmicb.2023.1104667,auto,v2.0-126corpus,0.92,"{""source"": ""Asparagopsis taxiformis"", ""target"": ""Methanogens"", ""edge_type"": ""INHIBITS"", ""effect_direction"": ""decrease"", ""effect_size"": ""Not stated"", ""dose"": ""Not specified"", ""experimental_system"": ""in_vitro"", ""mechanism_class"": [""Microbial community restructuring""], ""direct_or_inferred"": ""Direct"", ""evidence_method"": ""16S rRNA"", ""evidence_quality"": ""High"", ""supporting_quote"": ""A. taxiformis reduced the abundance of all major archaeal species (p < 0.05), leading to an almost total disappearance of the methanogens."", ""paper_id"": ""10.3389/fmicb.2023.1104667"", ""extraction_source"": ""auto"", ""prompt_version"": ""v2.0-126corpus"", ""confidence"": 0.92}"
R0004,Asparagopsis taxiformis,INHIBITS,Fibrobacter,decrease,Not stated,Not specified,in_vitro,['Microbial community restructuring'],Direct,16S rRNA,High,Prominent fiber-degrading ... bacteria including Fibrobacter ... were also inhibited by A. taxiformis (p < 0.05),10.3389/fmicb.2023.1104667,auto,v2.0-126corpus,0.92,"{""source"": ""Asparagopsis taxiformis"", ""target"": ""Fibrobacter"", ""edge_type"": ""INHIBITS"", ""effect_direction"": ""decrease"", ""effect_size"": ""Not stated"", ""dose"": ""Not specified"", ""experimental_system"": ""in_vitro"", ""mechanism_class"": [""Microbial community restructuring""], ""direct_or_inferred"": ""Direct"", ""evidence_method"": ""16S rRNA"", ""evidence_quality"": ""High"", ""supporting_quote"": ""Prominent fiber-degrading ... bacteria including Fibrobacter ... were also inhibited by A. taxiformis (p < 0.05)"", ""paper_id"": ""10.3389/fmicb.2023.1104667"", ""extraction_source"": ""auto"", ""prompt_version"": ""v2.0-126corpus"", ""confidence"": 0.92}"
R0004,Asparagopsis taxiformis,INHIBITS,Ruminococcus,decrease,Not stated,Not specified,in_vitro,['Microbial community restructuring'],Direct,16S rRNA,High,Prominent fiber-degrading and volatile fatty acid (VFA)-producing bacteria including ... Ruminococcus were also inhibited by A. taxiformis (p < 0.05),10.3389/fmicb.2023.1104667,auto,v2.0-126corpus,0.92,"{""source"": ""Asparagopsis taxiformis"", ""target"": ""Ruminococcus"", ""edge_type"": ""INHIBITS"", ""effect_direction"": ""decrease"", ""effect_size"": ""Not stated"", ""dose"": ""Not specified"", ""experimental_system"": ""in_vitro"", ""mechanism_class"": [""Microbial community restructuring""], ""direct_or_inferred"": ""Direct"", ""evidence_method"": ""16S rRNA"", ""evidence_quality"": ""High"", ""supporting_quote"": ""Prominent fiber-degrading and volatile fatty acid (VFA)-producing bacteria including ... Ruminococcus were also inhibited by A. taxiformis (p < 0.05)"", ""paper_id"": ""10.3389/fmicb.2023.1104667"", ""extraction_source"": ""auto"", ""prompt_version"": ""v2.0-126corpus"", ""confidence"": 0.92}"
R0004,Asparagopsis taxiformis,PROMOTES,Prevotella,increase,Not stated,Not specified,in_vitro,['Microbial community restructuring'],Direct,16S rRNA,High,The relative abundance of several other bacteria including Prevotella ... were increased by A. taxiformis,10.3389/fmicb.2023.1104667,auto,v2.0-126corpus,0.92,"{""source"": ""Asparagopsis taxiformis"", ""target"": ""Prevotella"", ""edge_type"": ""PROMOTES"", ""effect_direction"": ""increase"", ""effect_size"": ""Not stated"", ""dose"": ""Not specified"", ""experimental_system"": ""in_vitro"", ""mechanism_class"": [""Microbial community restructuring""], ""direct_or_inferred"": ""Direct"", ""evidence_method"": ""16S rRNA"", ""evidence_quality"": ""High"", ""supporting_quote"": ""The relative abundance of several other bacteria including Prevotella ... were increased by A. taxiformis"", ""paper_id"": ""10.3389/fmicb.2023.1104667"", ""extraction_source"": ""auto"", ""prompt_version"": ""v2.0-126corpus"", ""confidence"": 0.92}"
R0004,Asparagopsis taxiformis,PROMOTES,Bifidobacterium,increase,Not stated,Not specified,in_vitro,['Microbial community restructuring'],Direct,16S rRNA,High,The relative abundance of several other bacteria including ... Bifidobacterium ... were increased by A. taxiformis,10.3389/fmicb.2023.1104667,auto,v2.0-126corpus,0.92,"{""source"": ""Asparagopsis taxiformis"", ""target"": ""Bifidobacterium"", ""edge_type"": ""PROMOTES"", ""effect_direction"": ""increase"", ""effect_size"": ""Not stated"", ""dose"": ""Not specified"", ""experimental_system"": ""in_vitro"", ""mechanism_class"": [""Microbial community restructuring""], ""direct_or_inferred"": ""Direct"", ""evidence_method"": ""16S rRNA"", ""evidence_quality"": ""High"", ""supporting_quote"": ""The relative abundance of several other bacteria including ... Bifidobacterium ... were increased by A. taxiformis"", ""paper_id"": ""10.3389/fmicb.2023.1104667"", ""extraction_source"": ""auto"", ""prompt_version"": ""v2.0-126corpus"", ""confidence"": 0.92}"
R0004,Asparagopsis taxiformis,PROMOTES,Succinivibrio,increase,Not stated,Not specified,in_vitro,['Microbial community restructuring'],Direct,16S rRNA,High,The relative abundance of several other bacteria including ... Succinivibrio ... were increased by A. taxiformis,10.3389/fmicb.2023.1104667,auto,v2.0-126corpus,0.92,"{""source"": ""Asparagopsis taxiformis"", ""target"": ""Succinivibrio"", ""edge_type"": ""PROMOTES"", ""effect_direction"": ""increase"", ""effect_size"": ""Not stated"", ""dose"": ""Not specified"", ""experimental_system"": ""in_vitro"", ""mechanism_class"": [""Microbial community restructuring""], ""direct_or_inferred"": ""Direct"", ""evidence_method"": ""16S rRNA"", ""evidence_quality"": ""High"", ""supporting_quote"": ""The relative abundance of several other bacteria including ... Succinivibrio ... were increased by A. taxiformis"", ""paper_id"": ""10.3389/fmicb.2023.1104667"", ""extraction_source"": ""auto"", ""prompt_version"": ""v2.0-126corpus"", ""confidence"": 0.92}"
R0004,Asparagopsis taxiformis,PROMOTES,Ruminobacter,increase,Not stated,Not specified,in_vitro,['Microbial community restructuring'],Direct,16S rRNA,High,The relative abundance of several other bacteria including ... Ruminobacter ... were increased by A. taxiformis,10.3389/fmicb.2023.1104667,auto,v2.0-126corpus,0.92,"{""source"": ""Asparagopsis taxiformis"", ""target"": ""Ruminobacter"", ""edge_type"": ""PROMOTES"", ""effect_direction"": ""increase"", ""effect_size"": ""Not stated"", ""dose"": ""Not specified"", ""experimental_system"": ""in_vitro"", ""mechanism_class"": [""Microbial community restructuring""], ""direct_or_inferred"": ""Direct"", ""evidence_method"": ""16S rRNA"", ""evidence_quality"": ""High"", ""supporting_quote"": ""The relative abundance of several other bacteria including ... Ruminobacter ... were increased by A. taxiformis"", ""paper_id"": ""10.3389/fmicb.2023.1104667"", ""extraction_source"": ""auto"", ""prompt_version"": ""v2.0-126corpus"", ""confidence"": 0.92}"
R0004,Asparagopsis taxiformis,PROMOTES,unclassified Lachnospiraceae,increase,Not stated,Not specified,in_vitro,['Microbial community restructuring'],Direct,16S rRNA,High,The relative abundance of several other bacteria including ... unclassified Lachnospiraceae were increased by A. taxiformis,10.3389/fmicb.2023.1104667,auto,v2.0-126corpus,0.92,"{""source"": ""Asparagopsis taxiformis"", ""target"": ""unclassified Lachnospiraceae"", ""edge_type"": ""PROMOTES"", ""effect_direction"": ""increase"", ""effect_size"": ""Not stated"", ""dose"": ""Not specified"", ""experimental_system"": ""in_vitro"", ""mechanism_class"": [""Microbial community restructuring""], ""direct_or_inferred"": ""Direct"", ""evidence_method"": ""16S rRNA"", ""evidence_quality"": ""High"", ""supporting_quote"": ""The relative abundance of several other bacteria including ... unclassified Lachnospiraceae were increased by A. taxiformis"", ""paper_id"": ""10.3389/fmicb.2023.1104667"", ""extraction_source"": ""auto"", ""prompt_version"": ""v2.0-126corpus"", ""confidence"": 0.92}"
R0004,Palmaria mollis,MODULATES,Methanogens,no_change,Not stated,Not specified,in_vitro,['Microbial community restructuring'],Direct,16S rRNA,High,Neither P. mollis nor M. japonica had a substantial effect on the microbiome (p > 0.05),10.3389/fmicb.2023.1104667,auto,v2.0-126corpus,0.85,"{""source"": ""Palmaria mollis"", ""target"": ""Methanogens"", ""edge_type"": ""MODULATES"", ""effect_direction"": ""no_change"", ""effect_size"": ""Not stated"", ""dose"": ""Not specified"", ""experimental_system"": ""in_vitro"", ""mechanism_class"": [""Microbial community restructuring""], ""direct_or_inferred"": ""Direct"", ""evidence_method"": ""16S rRNA"", ""evidence_quality"": ""High"", ""supporting_quote"": ""Neither P. mollis nor M. japonica had a substantial effect on the microbiome (p > 0.05)"", ""paper_id"": ""10.3389/fmicb.2023.1104667"", ""extraction_source"": ""auto"", ""prompt_version"": ""v2.0-126corpus"", ""confidence"": 0.85}"
R0004,Mazzaella japonica,MODULATES,Methanogens,no_change,Not stated,Not specified,in_vitro,['Microbial community restructuring'],Direct,16S rRNA,High,Neither P. mollis nor M. japonica had a substantial effect on the microbiome (p > 0.05),10.3389/fmicb.2023.1104667,auto,v2.0-126corpus,0.85,"{""source"": ""Mazzaella japonica"", ""target"": ""Methanogens"", ""edge_type"": ""MODULATES"", ""effect_direction"": ""no_change"", ""effect_size"": ""Not stated"", ""dose"": ""Not specified"", ""experimental_system"": ""in_vitro"", ""mechanism_class"": [""Microbial community restructuring""], ""direct_or_inferred"": ""Direct"", ""evidence_method"": ""16S rRNA"", ""evidence_quality"": ""High"", ""supporting_quote"": ""Neither P. mollis nor M. japonica had a substantial effect on the microbiome (p > 0.05)"", ""paper_id"": ""10.3389/fmicb.2023.1104667"", ""extraction_source"": ""auto"", ""prompt_version"": ""v2.0-126corpus"", ""confidence"": 0.85}"
R0005,Asparagopsis taxiformis,PRODUCES,bromoform,increase,19.2 mg g-1 dw algae,Not specified,ex_vivo,['Unknown/unclear mechanism'],Direct,chemical analysis,High,homogenise freshly-collected Asparagopsis in oil resulted in highest concentration of bromoform (19.2 ± 2.1 mg g-1 dw algae),10.1016/j.algal.2020.102065,auto,v2.0-126corpus,0.95,"{""source"": ""Asparagopsis taxiformis"", ""target"": ""bromoform"", ""edge_type"": ""PRODUCES"", ""effect_direction"": ""increase"", ""effect_size"": ""19.2 mg g-1 dw algae"", ""dose"": ""Not specified"", ""experimental_system"": ""ex_vivo"", ""mechanism_class"": [""Unknown/unclear mechanism""], ""direct_or_inferred"": ""Direct"", ""evidence_method"": ""chemical analysis"", ""evidence_quality"": ""High"", ""supporting_quote"": ""homogenise freshly-collected Asparagopsis in oil resulted in highest concentration of bromoform (19.2 ± 2.1 mg g-1 dw algae)"", ""paper_id"": ""10.1016/j.algal.2020.102065"", ""extraction_source"": ""auto"", ""prompt_version"": ""v2.0-126corpus"", ""confidence"": 0.95}"
R0006,Ecklonia stolonifera,PROMOTES,methane yield,increase,Not stated,"1%, 3%, and 5% on timothy hay basis",in_vitro,['Microbial community restructuring'],Direct,real-time polymerase chain reaction,Medium,E. stolonifera extracts appeared to increase both methane emissions and hydrogen production,10.5713/ajas.19.0092,auto,v2.0-126corpus,0.8,"{""source"": ""Ecklonia stolonifera"", ""target"": ""methane yield"", ""edge_type"": ""PROMOTES"", ""effect_direction"": ""increase"", ""effect_size"": ""Not stated"", ""dose"": ""1%, 3%, and 5% on timothy hay basis"", ""experimental_system"": ""in_vitro"", ""mechanism_class"": [""Microbial community restructuring""], ""direct_or_inferred"": ""Direct"", ""evidence_method"": ""real-time polymerase chain reaction"", ""evidence_quality"": ""Medium"", ""supporting_quote"": ""E. stolonifera extracts appeared to increase both methane emissions and hydrogen production"", ""paper_id"": ""10.5713/ajas.19.0092"", ""extraction_source"": ""auto"", ""prompt_version"": ""v2.0-126corpus"", ""confidence"": 0.8}"
R0006,Ecklonia stolonifera,PROMOTES,hydrogen production,increase,Not stated,"1%, 3%, and 5% on timothy hay basis",in_vitro,['Unknown/unclear mechanism'],Inferred,in vitro gas production,Medium,E. stolonifera extracts appeared to increase both methane emissions and hydrogen production,10.5713/ajas.19.0092,auto,v2.0-126corpus,0.7,"{""source"": ""Ecklonia stolonifera"", ""target"": ""hydrogen production"", ""edge_type"": ""PROMOTES"", ""effect_direction"": ""increase"", ""effect_size"": ""Not stated"", ""dose"": ""1%, 3%, and 5% on timothy hay basis"", ""experimental_system"": ""in_vitro"", ""mechanism_class"": [""Unknown/unclear mechanism""], ""direct_or_inferred"": ""Inferred"", ""evidence_method"": ""in vitro gas production"", ""evidence_quality"": ""Medium"", ""supporting_quote"": ""E. stolonifera extracts appeared to increase both methane emissions and hydrogen production"", ""paper_id"": ""10.5713/ajas.19.0092"", ""extraction_source"": ""auto"", ""prompt_version"": ""v2.0-126corpus"", ""confidence"": 0.7}"
R0006,Ecklonia stolonifera,INHIBITS,ciliate-associated methanogen,decrease,Not stated,"1%, 3%, and 5% on timothy hay basis",in_vitro,['Microbial community restructuring'],Direct,real-time polymerase chain reaction,Medium,ciliate-associated methanogen populations decreased,10.5713/ajas.19.0092,auto,v2.0-126corpus,0.85,"{""source"": ""Ecklonia stolonifera"", ""target"": ""ciliate-associated methanogen"", ""edge_type"": ""INHIBITS"", ""effect_direction"": ""decrease"", ""effect_size"": ""Not stated"", ""dose"": ""1%, 3%, and 5% on timothy hay basis"", ""experimental_system"": ""in_vitro"", ""mechanism_class"": [""Microbial community restructuring""], ""direct_or_inferred"": ""Direct"", ""evidence_method"": ""real-time polymerase chain reaction"", ""evidence_quality"": ""Medium"", ""supporting_quote"": ""ciliate-associated methanogen populations decreased"", ""paper_id"": ""10.5713/ajas.19.0092"", ""extraction_source"": ""auto"", ""prompt_version"": ""v2.0-126corpus"", ""confidence"": 0.85}"
R0006,Ecklonia stolonifera,INHIBITS,Fibrobacter succinogenes,decrease,Not stated,"1%, 3%, and 5% on timothy hay basis",in_vitro,['Microbial community restructuring'],Direct,real-time polymerase chain reaction,Medium,Fibrobacter succinogenes populations decreased,10.5713/ajas.19.0092,auto,v2.0-126corpus,0.85,"{""source"": ""Ecklonia stolonifera"", ""target"": ""Fibrobacter succinogenes"", ""edge_type"": ""INHIBITS"", ""effect_direction"": ""decrease"", ""effect_size"": ""Not stated"", ""dose"": ""1%, 3%, and 5% on timothy hay basis"", ""experimental_system"": ""in_vitro"", ""mechanism_class"": [""Microbial community restructuring""], ""direct_or_inferred"": ""Direct"", ""evidence_method"": ""real-time polymerase chain reaction"", ""evidence_quality"": ""Medium"", ""supporting_quote"": ""Fibrobacter succinogenes populations decreased"", ""paper_id"": ""10.5713/ajas.19.0092"", ""extraction_source"": ""auto"", ""prompt_version"": ""v2.0-126corpus"", ""confidence"": 0.85}"
R0006,Ecklonia stolonifera,PROMOTES,Ruminococcus flavefaciens,increase,Not stated,"1%, 3%, and 5% on timothy hay basis",in_vitro,['Microbial community restructuring'],Direct,real-time polymerase chain reaction,Medium,Ruminococcus flavefaciens population increased,10.5713/ajas.19.0092,auto,v2.0-126corpus,0.85,"{""source"": ""Ecklonia stolonifera"", ""target"": ""Ruminococcus flavefaciens"", ""edge_type"": ""PROMOTES"", ""effect_direction"": ""increase"", ""effect_size"": ""Not stated"", ""dose"": ""1%, 3%, and 5% on timothy hay basis"", ""experimental_system"": ""in_vitro"", ""mechanism_class"": [""Microbial community restructuring""], ""direct_or_inferred"": ""Direct"", ""evidence_method"": ""real-time polymerase chain reaction"", ""evidence_quality"": ""Medium"", ""supporting_quote"": ""Ruminococcus flavefaciens population increased"", ""paper_id"": ""10.5713/ajas.19.0092"", ""extraction_source"": ""auto"", ""prompt_version"": ""v2.0-126corpus"", ""confidence"": 0.85}"
R0008,Asparagopsis taxiformis,INHIBITS,methane yield,decrease,80%,0.5% OM,in_vivo,['Hydrogen sink redistribution'],Direct,respiration chamber,High,Supplementing low forage TMR reduced CH4 yield 69.8% (P<0.01) for Low and 80% (P<0.01) for High treatments.,10.1371/journal.pone.0247820,auto,v2.0-126corpus,0.92,"{""source"": ""Asparagopsis taxiformis"", ""target"": ""methane yield"", ""edge_type"": ""INHIBITS"", ""effect_direction"": ""decrease"", ""effect_size"": ""80%"", ""dose"": ""0.5% OM"", ""experimental_system"": ""in_vivo"", ""mechanism_class"": [""Hydrogen sink redistribution""], ""direct_or_inferred"": ""Direct"", ""evidence_method"": ""respiration chamber"", ""evidence_quality"": ""High"", ""supporting_quote"": ""Supplementing low forage TMR reduced CH4 yield 69.8% (P<0.01) for Low and 80% (P<0.01) for High treatments."", ""paper_id"": ""10.1371/journal.pone.0247820"", ""extraction_source"": ""auto"", ""prompt_version"": ""v2.0-126corpus"", ""confidence"": 0.92}"
R0008,Asparagopsis taxiformis,PROMOTES,hydrogen yield,increase,590%,0.5% OM,in_vivo,['Hydrogen sink redistribution'],Direct,respiration chamber,High,"Hydrogen (H2) yield increased (P<0.01) 336 and 590% compared to Control for the Low and High treatments, respectively.",10.1371/journal.pone.0247820,auto,v2.0-126corpus,0.92,"{""source"": ""Asparagopsis taxiformis"", ""target"": ""hydrogen yield"", ""edge_type"": ""PROMOTES"", ""effect_direction"": ""increase"", ""effect_size"": ""590%"", ""dose"": ""0.5% OM"", ""experimental_system"": ""in_vivo"", ""mechanism_class"": [""Hydrogen sink redistribution""], ""direct_or_inferred"": ""Direct"", ""evidence_method"": ""respiration chamber"", ""evidence_quality"": ""High"", ""supporting_quote"": ""Hydrogen (H2) yield increased (P<0.01) 336 and 590% compared to Control for the Low and High treatments, respectively."", ""paper_id"": ""10.1371/journal.pone.0247820"", ""extraction_source"": ""auto"", ""prompt_version"": ""v2.0-126corpus"", ""confidence"": 0.92}"
